page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
2456924,5184316,1019473,1425581,0,
593438,1695914,47414,258614,60,
3817905,5089302,741193,1455376,0,
1919917,5793639,38741,966445,690,
825478,1051543,132020,1448849,1,
1718909,2651641,86443,1038952,53,
1110387,4305250,1021258,1269793,0,
3279742,4314426,1036106,1337281,0,
2430070,3403369,228778,482055,0,
64119,958141,49569,821595,14,
1985598,5730711,306272,670025,6,
3653961,3905983,29150,434100,49,
855056,4308548,519964,1506309,1,
2846047,3386324,258845,1123385,0,
3077316,4414927,282984,1337411,0,
317180,4044243,418094,663109,1,
4452056,6116481,989182,1289129,0,
163492,4833924,864555,1025610,0,
1093342,2185311,149631,1127299,1,
2515934,2587229,110064,1507256,1,
203510,572469,6403,76622,68,
3512389,4035423,915791,1456332,0,
1849384,1940265,1077382,1215473,0,
5507419,6384421,441068,1285989,4,
1827807,5445873,280107,1235625,7,
1155167,3881786,389016,1008498,1,
1961265,5814508,586821,1423213,2,
719885,4392645,660053,825155,0,
2440533,2780928,316011,1541797,1,
3033328,5196752,66276,200399,156,
1943863,2219001,123952,1548673,0,
1542433,3467396,188554,1152626,1,
1567771,4017017,146840,275101,4,
2550908,3521473,252378,721463,0,
3622164,4761765,306146,1435036,2,
1010897,5543092,113413,613021,76,
102550,315407,79402,118899,0,
1342354,1417009,683450,770730,0,
214076,5204804,1233443,1470900,0,
2119533,3720699,621300,694743,0,
3920874,5862851,333014,1374314,8,
1466551,5314235,592,362300,117059,
1847127,4959362,1230337,1305471,0,
350345,6016801,379077,1299201,9,
1046019,4006550,830119,1006944,0,
1326529,5759486,318764,409906,1,
102368,3368955,217006,1119097,5,
1425325,6263856,1288670,1452361,0,
1673044,4129758,39392,217685,237,
2628744,3487109,294638,939693,0,
4643463,6133481,162229,705385,39,
5154034,5571067,609758,852888,0,
1504498,3986763,4281,196326,3528,
2433735,3500836,521895,1106875,1,
4857626,5550706,975546,1547235,0,
5054289,6266395,401223,642606,3,
1610155,3383136,1292384,1399312,0,
1539356,5111093,192431,500300,9,
4880821,6128825,191149,1011047,25,
3596144,4070841,618464,695830,0,
3504634,4110292,1146537,1213704,0,
1354130,4974981,201545,1162690,7,
926116,5046096,583466,1549931,1,
4002361,4275990,779138,1133731,0,
4714479,5714434,1081924,1548645,0,
5822383,5894993,64226,594188,34,
1028763,1421321,1070714,1411162,0,
2525280,3009065,434896,1322085,1,
1592010,3704696,172252,798372,2,
78291,5241683,420256,1528914,3,
4491874,5977559,313714,1329637,7,
1340602,6138661,202476,1187450,29,
2142144,2202656,117828,1527155,0,
305743,2969624,216928,1505505,5,
2576544,3663597,324402,325066,0,
1090631,3149425,68697,546013,99,
268818,321094,1344284,1553617,0,
515640,4846854,1010762,1214751,0,
1840867,1903147,272765,280518,0,
724670,5542323,323403,1098754,5,
604809,5706570,703755,1284265,0,
1143784,6289179,252126,1122180,22,
2323986,4999436,618658,682538,1,
162554,2005741,477738,703881,0,
1548402,4912873,842451,849420,0,
5586912,5914536,706722,1165859,1,
1041743,5566776,448576,776639,3,
4663330,4952733,111364,250949,6,
2505576,4821615,418374,1075330,2,
4340581,5242220,111094,1333097,38,
1183523,5167609,146446,333083,20,
2363915,4627610,433268,1066266,2,
4753420,5101393,695207,1326703,0,
1600792,5449991,647025,706334,1,
2621273,5276910,788089,1222436,0,
4620345,5983967,75406,1257137,190,
1917341,4442889,546316,1292869,1,
1956881,4174269,668245,918481,0,
2272266,3392627,135150,678257,4,
1011588,4604791,1247305,1263194,0,
4132961,5722050,132983,1458899,49,
4709830,5273040,1076557,1385985,0,
5549079,6193383,328261,411162,1,
4594970,5581168,445326,531167,0,
3167689,3541303,428166,663457,0,
1116795,1528643,216101,976960,1,
3192642,5490289,401483,658240,2,
49999,1611131,209737,454712,4,
1681131,2370098,33447,123416,127,
50492,3554145,147990,1195922,9,
3010851,4034978,505421,1168866,0,
1764914,3948774,1106893,1233390,0,
432239,4011470,540354,1416982,1,
597467,1229616,528413,1375041,0,
177660,2991556,545783,764830,1,
5508786,5878353,755566,821800,0,
1186183,1970244,264465,1243754,1,
1302130,4821256,1250700,1301900,0,
5499113,5772991,247630,283889,1,
322533,3167984,458380,1250311,1,
1785800,5506641,200608,572854,18,
1295993,5926795,72832,1101777,354,
120257,592466,309138,1211562,0,
2814774,5118384,536289,1190110,1,
5117074,5967550,131454,288903,37,
2958126,5503756,518395,864406,1,
1815348,1903304,654502,1275379,0,
2951693,4776039,398569,1330317,2,
2877206,3454110,160310,957539,1,
2762582,5892297,357103,751256,7,
1025182,5968075,844101,1279451,1,
1204189,5973044,70353,1368036,389,
572428,5344041,184766,480404,17,
693930,4084549,989339,1184599,0,
2710408,3128159,168494,282646,0,
2624250,4003631,340391,1312063,0,
1320352,4833022,488938,702734,1,
3137222,3831629,275920,497564,0,
168030,533493,638904,1401576,0,
56100,2002650,727943,831228,0,
4198450,4916537,127144,1003200,18,
50761,4290170,973876,985486,0,
954385,5741126,132268,1381605,62,
546046,2884009,729342,1018755,0,
5244135,5933325,918631,1435947,0,
1485076,1937834,259835,303942,0,
4953997,6063540,306310,1417462,5,
1345980,1567099,1320409,1357939,0,
591158,3003281,1234359,1316268,0,
161666,5066664,553038,600168,0,
4714674,6132631,283901,1565817,11,
4669681,5126592,367594,566499,1,
1900752,5298164,873600,1287084,0,
2441367,5663904,1003673,1564430,0,
3295559,4755019,10633,797879,1056,
1676437,3704363,622680,1382469,0,
2707118,5122147,238586,1311130,7,
2162680,4171454,756832,1318069,0,
522922,3317693,142630,338771,3,
194437,3623493,538618,1002471,1,
905897,6071737,66724,1336114,426,
4256232,4521698,602458,1559438,0,
746823,3786331,595589,1327496,0,
3877114,5334690,83878,234085,93,
2168678,4995920,612064,1266374,1,
3081196,4718107,243911,511922,4,
1767522,5444799,693955,949336,0,
1965375,5945496,1172232,1404798,0,
1360259,2549990,588038,824331,0,
1893892,3724756,362449,537402,0,
585937,6018066,1284303,1436902,0,
5565793,6218530,119312,1234852,68,
305242,2122239,822277,963034,0,
916156,6054159,1363375,1472884,0,
492631,3826378,342196,1279923,2,
2815571,3863418,670653,1449474,0,
187853,3425943,968628,1344658,0,
1036387,3555903,611111,1449240,0,
407900,5506012,64535,1026592,321,
3724640,4587870,265269,1229734,1,
281443,4214978,316250,916746,2,
1180375,3353458,336721,770827,2,
815955,2734595,1289606,1348620,0,
5121730,5746346,508820,1487637,0,
186637,352667,838610,1422475,0,
1594021,5819135,161019,652630,41,
4533853,6373645,647107,1505181,2,
58783,1559388,410130,1110888,0,
4098804,4673819,852067,986613,0,
4345414,5053070,112444,1497201,28,
764930,5202538,1090838,1189233,0,
567883,5393432,628739,1139070,1,
1327188,2246979,409005,1233694,0,
3559325,5749449,1329123,1333397,0,
1711318,1728893,452954,1499209,0,
1240507,1754209,372927,1432143,0,
789977,3136983,89785,1033748,68,
746449,5174016,19318,230186,1338,
1557707,5463914,487591,1334460,2,
1795192,2193932,157264,1219738,0,
942010,3922088,359517,1208349,2,
4094551,4858986,210503,1191586,5,
3215246,4885402,124181,1142274,28,
3008215,4730772,576886,637572,0,
3861085,4170380,1254102,1368736,0,
859122,4036477,390460,1085538,1,
4443392,5223735,243040,1207304,6,
2501378,4229281,1133445,1472643,0,
674466,2218262,931463,1322973,0,
300718,5927091,969889,1201038,0,
4151090,4966147,1472453,1531118,0,
2241189,3863096,342254,1504162,1,
1232160,5071559,957661,1003338,0,
1391927,6348584,105385,1188225,217,
2657046,4708344,1061389,1232831,0,
1299990,4778172,1003720,1371382,0,
3111403,6043801,532722,1062084,2,
2517322,5495572,232044,1378567,15,
3999584,5268271,1079010,1210854,0,
1865606,4084724,421187,956965,1,
1072127,3075402,290208,782489,2,
3083763,5717854,183544,705176,27,
4506228,4626230,1325037,1541745,0,
635001,3877456,884870,1031667,0,
1334585,1713514,621746,745317,0,
3340797,3588389,740348,933657,0,
498814,4211725,733558,1299247,0,
2330262,2711834,8889,785592,175,
779662,3358059,160333,1050284,5,
3082472,3455444,179327,388073,0,
2195995,6371039,369795,1093323,9,
2864147,5227622,613664,625356,0,
2808437,4919390,1066739,1480546,0,
4266061,6064066,374259,957914,8,
2161360,2379779,172651,310788,0,
1535866,2965140,891905,922335,0,
3922417,4246810,1117294,1394876,0,
1733625,3104532,225647,1498382,1,
919038,1752985,1005142,1404071,0,
3259153,3440100,132156,1544559,2,
3426482,5392752,395767,914050,3,
3229002,4852395,895,820138,28841,
224318,2683150,35701,533054,239,
3207969,4024145,1088980,1162561,0,
4085935,4875686,311422,433016,1,
72137,4339090,1436810,1448034,0,
4325394,6181649,126797,190328,68,
1061674,2105061,838085,1364695,0,
2042412,4865805,542769,920417,2,
2184553,6011865,931540,1316789,0,
781599,3230459,240968,359014,1,
2848996,4583420,195363,590960,3,
3169247,5380594,206763,1296025,13,
510643,5899380,328522,1266438,10,
2105624,3398864,465961,1353021,1,
5971007,6225300,289560,1301072,0,
2949276,5274329,393729,401683,0,
344056,4560077,371481,501697,1,
5391827,6159944,450754,1515905,4,
4572512,6201130,136249,1332007,69,
980675,1828337,102172,684261,8,
3292972,4036068,821692,881094,0,
3076207,4710799,360334,1106552,2,
1877804,5054734,818535,1238420,0,
2100789,2472794,208442,336502,0,
187206,1842247,428162,1144727,0,
1460016,3154579,396554,797196,1,
1553608,3705502,760140,1552864,0,
151974,4170940,655428,1418455,0,
1012778,3511937,173879,810303,2,
1174020,2010853,70905,1337018,18,
2968440,5406443,59280,1328563,241,
915081,6065999,38214,1397304,913,
1091731,2754771,825441,1144640,0,
1727780,6261999,143342,1525406,76,
403882,1957200,270730,1088103,1,
3278625,5507202,1088713,1218623,0,
1668988,2470199,652136,757734,0,
2808825,5719368,1186725,1321250,0,
1291629,5497353,1300792,1320514,0,
3541848,5760832,463349,563843,3,
479250,3381937,16809,1260614,646,
4225290,6125703,123354,892953,97,
3437753,4273160,350756,962323,0,
4154906,5303027,152268,204623,10,
2566986,5841295,615863,1015433,2,
1197175,3869336,476798,528940,0,
2486482,2941632,110198,1033677,4,
91226,1764838,657712,1535683,0,
801799,4397552,306497,1330140,2,
5526254,6227753,270162,943473,6,
254798,3848179,200997,1450665,5,
57115,2954574,704542,1426703,0,
2711031,3359524,486247,1214408,0,
822331,2719607,981405,1241608,0,
1870528,3688549,982022,1048673,0,
196655,4988819,739779,1526360,0,
105850,1749004,404663,589578,0,
5084004,6072456,102394,887345,105,
933939,1117246,41915,1391344,14,
1673263,5376648,87990,383918,164,
2549364,5772409,152118,927672,46,
1129062,2733589,378369,1048529,1,
1579780,1851691,192363,218347,0,
3308446,5101212,130604,298365,23,
5035856,5593603,843488,1169383,0,
4520875,5794088,330698,1355637,5,
1181820,3020343,729378,1172589,0,
2047914,4993003,435666,1239545,3,
1908306,5437926,180703,1080896,22,
2794545,4443608,489934,694309,0,
2490413,2924326,751378,839794,0,
639751,3452426,742118,1405795,0,
3192752,6255874,1155776,1504585,0,
78004,5057513,424063,1288763,3,
1096920,4973010,388255,1046238,4,
1772474,5334235,238945,426311,7,
3386099,5209481,336339,1258481,3,
1549396,5099392,73627,255913,197,
2680204,4342184,700097,1169468,0,
1260588,3051095,803319,933011,0,
2785835,5914730,133646,264080,55,
198149,4067495,97402,798619,81,
1967293,4144547,50651,1530131,157,
459911,1300144,462249,486549,0,
504987,1917997,94203,1011501,10,
1154623,1364329,3798,1177759,303,
2027800,5097796,41913,1062204,404,
2625968,2777128,711905,1021455,0,
2856605,6362362,636449,1543619,2,
2765604,4416307,389439,932696,0,
3851938,4426777,558941,1447543,0,
843528,4230740,327254,1374299,2,
753563,3078824,1403646,1437768,0,
763298,2454883,1267395,1375236,0,
2668007,6358803,19955,202344,3263,
3696871,4254213,756838,829949,0,
2877155,5843694,568042,1508179,2,
4594930,6281937,799363,1185948,1,
2182453,4858554,379140,1458619,4,
1715715,3160348,557850,1257597,0,
621048,1666622,1266463,1294832,0,
1408472,3614062,367899,1116126,1,
717533,2403115,676005,1317367,0,
1759350,1884479,134263,285550,0,
779170,848264,292520,1036908,0,
1707207,3519640,436693,964557,1,
1571710,2508805,777380,1035427,0,
735371,2950640,318223,1304547,2,
1368694,6010635,63154,87093,162,
868249,5859092,34973,401096,899,
2861182,5143541,183841,402011,8,
1120732,1380612,284494,1472128,1,
868816,4366693,992415,1094542,0,
3838484,5027653,257110,762224,4,
424775,1692229,643120,1514451,0,
3074562,5401154,399284,1319358,3,
1416702,3821356,182165,441157,0,
1660049,5661338,629908,1325043,1,
3424938,5196638,1195464,1240924,0,
264338,1043918,323640,1438227,0,
2963791,6150544,828849,1256290,1,
1076535,5572999,299870,814699,8,
1446620,5584640,289173,1392434,8,
2180800,4711016,40438,407413,326,
5931738,5958704,572970,913288,0,
128719,5602171,131468,973078,52,
2777020,5540797,228614,470354,14,
3538929,4252490,330203,606234,0,
4625163,5884658,50388,1328271,286,
660299,4782631,898778,1170710,0,
1784101,4717971,453198,1362549,2,
2193703,4950856,56259,790069,255,
581822,3785431,450288,564051,1,
3040990,4277814,359828,389015,0,
3303731,3707924,591156,1016600,0,
1376313,4260089,254962,667343,1,
2313861,5890819,615753,825797,1,
1057042,5955818,349663,1451284,10,
1246965,1862692,911246,1488880,0,
1746375,2280652,816522,841162,0,
2365547,3693091,55440,1539187,57,
700567,1292753,711809,754445,0,
2507234,5096934,692617,1038243,0,
772668,2517150,943815,944621,0,
1479185,2720386,1022911,1092147,0,
5933679,6337293,94570,180781,68,
2105224,3552891,322071,612159,1,
2993565,4415390,642905,770042,0,
120262,5517515,251557,332698,12,
916725,4655189,484369,644961,1,
572837,5533950,450085,1466381,3,
1005990,3767403,356534,1099942,2,
4411278,5762205,426571,1485085,4,
4998299,5343606,556909,729552,0,
581975,6070572,1107992,1455860,0,
5257291,6059145,958432,1317615,0,
2759339,4537105,924778,1353396,0,
5015915,5218616,557697,582559,0,
1203173,2642774,481968,961474,1,
492202,4530971,346313,1182361,3,
694484,5106201,1259363,1322326,0,
3806296,5474194,1362479,1451625,0,
1018689,4802253,57111,626153,284,
221697,3172365,958833,1525588,0,
3154987,4846616,1317006,1504500,0,
3021557,5179305,1207800,1212864,0,
1948217,5309252,119547,1497482,53,
4830930,5506862,6209,1324743,2333,
403643,2953351,240395,598016,3,
680775,1983741,240115,861234,2,
2498750,6214494,826250,1403427,1,
255414,5737401,1272098,1543418,0,
3079025,6130969,829684,1403484,1,
2208018,3352792,289673,1074304,1,
1959929,2817829,428343,1224018,1,
5136864,6142501,334479,382891,0,
2133564,5664497,1382942,1550917,0,
1313177,2456817,1467,1456341,5808,
3715811,6244152,698337,1395583,1,
505182,1464785,823297,1216488,0,
368656,2270687,153258,1542805,3,
635630,4506205,165462,187159,3,
1519007,2943042,28244,1509776,236,
4503346,5807433,311222,557245,3,
1508060,5244668,396294,868954,4,
929616,4302836,440141,709095,1,
991659,1629496,1225381,1441540,0,
2827541,5001648,61433,365061,164,
2081922,6022208,510750,816748,3,
3918654,5287974,197286,1316933,12,
2288377,3120207,657289,1010637,0,
3839688,4315670,1083691,1423850,0,
150041,2513048,291123,817865,1,
2071187,2278464,755147,847576,0,
2112343,3773063,28843,1002433,249,
3003970,3275923,447713,1225158,0,
3317892,5116970,537402,1319268,1,
1707602,4146955,402975,1212525,1,
3976874,4503681,429883,1521313,1,
792681,4163606,245485,809034,3,
623400,752902,92050,1560959,1,
2201441,3697135,457715,1451871,1,
3155432,4522052,95558,264986,37,
1110378,1416289,123048,501412,1,
1600247,3905989,1155415,1409058,0,
1002889,2459405,30086,966344,237,
595451,5144583,460759,1169140,3,
3335320,5020435,412696,1053050,2,
4899658,5097388,676077,1129495,0,
2676084,6015684,720717,1231767,1,
4361888,5217977,1000960,1113361,0,
3643537,4085144,444769,1351281,0,
1395923,2720328,23822,1103738,278,
5739311,5888025,656656,1315089,1,
898675,2642227,129289,1519072,5,
3007108,4513768,214321,1129860,3,
568872,4189431,173812,866419,5,
3837582,4448359,65791,222179,15,
1387822,2327808,498755,843044,0,
3110706,5701252,101799,1294158,122,
5493109,6012042,260118,1402796,8,
996111,5929567,104506,522641,163,
2752730,5239092,696021,1076385,0,
2522752,2830532,211292,875178,1,
168596,1757903,84841,1531411,17,
490729,3817064,333286,1461547,2,
3753199,5927277,159165,479451,44,
253615,4393929,410661,850073,1,
2744711,5918952,603677,1448289,2,
1139766,1147201,701037,1003892,0,
1164615,3774339,401347,670952,1,
3537622,5992878,1359507,1468292,0,
860721,2338184,350130,1526425,1,
1823509,3835407,471523,846334,1,
1405552,5411036,416589,1265939,3,
826914,2760465,465106,838467,1,
82041,350875,1027249,1532173,0,
4249543,6239887,811248,1012320,1,
1813713,5313090,212923,727145,13,
3509340,4614794,809573,943035,0,
296012,4539026,441152,833103,2,
4709570,5684383,432482,1223934,3,
1282686,2788498,409739,908754,1,
4195349,5866746,21449,73427,905,
3373472,5341149,135164,1367366,30,
5683843,6184677,741783,1355948,1,
368438,6142498,132016,1017358,86,
3101388,3571914,577672,1103584,0,
115934,5217885,796970,1558785,0,
3684812,5072561,341395,710854,3,
1175802,2843982,246785,855832,2,
1903982,2136698,287347,509807,0,
636737,5086733,894938,1337063,0,
94257,2472682,110735,425593,18,
2923977,4264061,1259677,1460024,0,
2036099,4862611,978636,1351001,0,
1382681,4836355,161777,1255047,13,
257842,3048925,468906,806632,1,
150179,3593501,483564,1139506,1,
5696790,5812615,70426,290513,15,
3089554,6169071,586388,1038198,2,
1801654,2892447,86409,485467,55,
365456,3958035,1396313,1550352,0,
4066677,4978295,1193497,1469923,0,
1286453,4116822,109012,896692,32,
1580654,4505775,223841,731760,4,
809325,4259288,487285,599129,1,
5221307,5423408,288687,1121701,3,
728253,1538100,386185,815934,0,
185153,209001,1222833,1236164,0,
2838236,5188017,381136,663301,3,
257122,5817619,283002,482393,7,
2452671,6407586,159915,170178,6,
2419994,4327478,82900,1211515,39,
967814,3196400,447653,614365,1,
593435,2308036,715010,1001629,0,
1814030,2971534,530452,1314979,1,
4439542,5098593,81590,332159,71,
1029330,2412591,136977,754961,2,
2604627,4523058,421515,542952,1,
82041,1363182,282769,1546599,1,
5739940,5868260,1122935,1451681,0,
629866,2814422,546163,892077,1,
1982565,5621928,795912,1138117,0,
973101,5743207,158074,196982,20,
4004048,5743794,368145,669807,5,
181393,5767473,578529,976216,1,
3685414,4122266,678905,1386338,0,
3256418,4653360,74123,1063793,75,
4852429,6308157,260389,316675,11,
1694947,3084925,732872,1351767,0,
5204798,5334461,290840,693767,0,
865184,4910830,357215,1470276,5,
4870453,5836225,1174036,1376252,0,
397944,1381665,379769,1134666,0,
2347913,4498847,604026,1298983,0,
578495,2292561,1305991,1533822,0,
2753316,3982976,336710,1049056,0,
245265,386915,1408823,1527753,0,
525510,5587561,41308,840607,650,
2399121,4718799,580955,942661,0,
752552,5677160,627405,1535002,1,
151465,1829017,387739,1557481,0,
510761,2228153,838866,1421721,0,
2565622,6368848,19702,1521832,3458,
2366302,4017183,563081,1160294,0,
293650,4746485,689636,1407966,0,
3481094,5034985,723391,1432565,0,
4584182,5683886,1450944,1468879,0,
3607855,6405911,306447,985525,9,
793451,5812705,536350,741675,2,
2108408,5125374,269949,365114,0,
1276817,5954760,1256872,1497550,0,
4859837,5169537,1183088,1337788,0,
1075381,1196764,619459,1142438,0,
4403209,6108146,91162,1310418,184,
1696636,4874959,867001,1168268,0,
364173,2314738,307552,1039787,1,
1503078,6023110,107472,340982,138,
4245364,6198396,555949,949643,2,
1221158,1329043,291672,984482,1,
2458698,6130074,816529,1462395,1,
2902901,5466565,338359,350425,0,
2652056,3798390,235835,1537628,0,
3474789,4702177,119578,1484144,21,
4882179,6275654,487960,1545475,4,
5017116,6344953,1176469,1343959,0,
1584539,2546336,360538,1362121,1,
1669352,1945942,19084,347805,38,
2481397,5309772,1417039,1471023,0,
2508700,3031138,1326230,1366578,0,
1549710,2256778,1161188,1307825,0,
2590239,3808766,391873,891279,0,
3575478,5955667,170015,895013,42,
99955,2870983,557709,863757,0,
493678,2075822,70200,908307,23,
2990206,3656289,421162,1075941,0,
3342531,6264664,163854,612517,49,
1535285,3996301,612217,730149,0,
3228328,3502309,1051398,1335488,0,
222331,2457977,906387,1438222,0,
3636438,6220202,473123,873813,6,
3982413,5702220,388136,911807,5,
2463640,3362333,1289247,1334143,0,
2363818,2890053,1104139,1121318,0,
3505494,5652205,310615,936980,3,
3879087,4777439,226242,968359,4,
4432728,6321706,256785,779526,19,
3614694,4673028,233702,1182264,3,
2441183,5927287,11845,1236497,3121,
632831,4660904,209964,943942,6,
2127888,5888911,344684,1296199,9,
3365009,5890907,512777,938763,3,
2027038,4748592,276668,353521,0,
3812727,5777129,66682,1360849,228,
1740166,4786179,369255,1017296,3,
258399,738455,1119093,1371129,0,
5237074,6016408,211861,1105715,17,
5957938,5973882,108704,1542098,2,
2378113,6005317,240471,1162781,22,
4353088,6261604,960014,996822,0,
1998138,5569703,706837,980281,0,
2159884,3617309,1347109,1403866,0,
1827059,4857674,553611,1314233,1,
3379975,5852291,757349,789977,0,
2357095,3448344,897882,1364249,0,
4928187,5356230,386808,1184857,0,
501358,3017666,188766,744834,4,
5058270,5897094,283290,1278601,10,
1952886,3069591,168496,265963,0,
2375839,4057054,803907,1025801,0,
146543,5996693,493677,520792,3,
139402,678007,207500,626230,2,
263298,5350560,981271,1560441,0,
5013566,5229561,143459,419382,5,
3510630,3788301,573936,1097130,0,
1685290,4729941,59840,1235898,218,
1164627,1768268,520904,1318310,0,
529348,5624050,134557,896322,52,
5339617,5382029,328125,436926,0,
277844,5253534,294572,1172997,5,
2770784,3136229,1207699,1521592,0,
514635,3524558,211373,253110,0,
860612,1422013,926261,966743,0,
844606,5392453,127851,689126,52,
2274899,2837132,256852,285825,0,
942807,2756981,339223,1190915,2,
4182111,5345833,306873,366299,0,
3825882,3931564,1462932,1563595,0,
694074,3251586,1214455,1253547,0,
1077005,1101425,454163,652495,0,
4214240,5755143,39661,425075,421,
399990,2728089,749646,1008431,0,
4905054,6244065,204922,965548,27,
3274694,5569257,31224,216149,604,
2144201,5166809,310351,1039021,4,
1077548,4977314,171259,253026,7,
1018847,1394297,344433,913349,1,
729455,5148856,5005,200617,7165,
1918739,4309288,1311096,1441909,0,
3453116,5810323,67878,829658,242,
1139625,5858645,871016,1272018,0,
2823981,4774661,1182428,1300973,0,
3968970,4942132,415385,1492256,2,
574730,1175602,629765,773247,0,
1106128,5052267,79580,944205,186,
5572334,6272069,655720,1120611,1,
60900,2251656,862378,1355428,0,
3271053,3334751,1079037,1216933,0,
3196808,4109545,471011,1062426,0,
3511110,4985213,636597,1472510,1,
93508,980954,629765,670248,0,
3911688,4475054,552740,1258163,0,
4164689,4862870,856078,1131437,0,
1510689,2992313,281214,387723,0,
3642426,4998132,77425,174658,78,
1274474,1591542,189079,519921,0,
694040,5385818,261301,307896,5,
477298,2172396,1368055,1489413,0,
535367,6262061,489822,1069930,6,
630969,3198528,464569,1179897,1,
5988114,6117602,470054,778074,0,
5049960,6067995,162258,459099,29,
250972,1959722,463509,1428472,0,
2414404,4125659,345195,596534,1,
5572408,6196852,571441,1002865,1,
2812686,6147150,559311,569718,0,
738669,4325174,400767,1108859,1,
543131,3091938,128916,1012938,7,
2730628,3095707,410013,975015,0,
5362607,6042647,237025,1514890,12,
435273,4882364,289102,1480117,5,
1143666,3271708,444228,777953,1,
1950111,2944509,841388,1076183,0,
2841571,3247296,587408,1047658,0,
4642340,5068863,218011,912156,4,
2869102,6238768,709547,1022223,1,
1254591,1599717,556601,1457731,0,
2009900,4116307,325173,582977,1,
1108391,4232935,421371,594277,1,
1445783,3934183,1164224,1322702,0,
3962272,5003019,264637,521502,2,
181050,1555871,353713,368587,1,
5039830,5765080,886683,1273467,0,
3731108,4708312,131076,1489350,15,
566155,1279863,379811,396778,0,
542155,5618739,1153109,1191307,0,
911927,5943597,78228,578858,328,
2187528,3059351,501108,627368,1,
116993,3363030,438082,893075,1,
3404218,4451288,1236912,1370361,0,
272492,984675,701140,1149466,0,
584571,4688039,215959,1234769,6,
1035183,3376086,529223,1109639,1,
2238136,3772532,765848,932274,0,
226792,2298835,591124,840835,0,
499472,5903990,793027,1443767,1,
301043,2776460,203449,1283485,5,
52795,1678818,217602,809685,4,
3521316,4049287,554131,1504578,0,
3039409,3268217,892176,1467798,0,
3176408,5035415,502642,1347060,1,
62078,339791,1219977,1370422,0,
2710528,5503561,104426,1442530,83,
3337424,4111219,129178,140401,1,
167033,5138906,590379,737571,1,
1931470,2634015,425803,519838,0,
2068509,5731444,158002,1265163,44,
1981157,3535284,1105,934313,10850,
3546925,4536068,523070,1350942,0,
3340655,3996932,348828,875720,0,
137933,3682716,754558,807284,0,
737511,5133539,893366,1401820,0,
1505713,4862312,1087318,1177560,0,
1354281,2737994,1154182,1497806,0,
4880864,5892463,355385,598156,4,
450945,2115675,63682,447114,39,
940642,4839869,355791,569725,4,
1528143,5939327,731577,1222641,1,
5157204,6403148,718225,1327677,1,
1514259,5544185,88560,745617,185,
4352102,4679483,842163,1377445,0,
873837,1467616,442308,534130,0,
679892,3242765,139564,806139,5,
4798707,5229661,196826,696933,6,
1534973,5596368,260527,888939,13,
748626,3011780,69133,959129,97,
456891,5293748,308747,1410808,5,
4617035,6347796,802844,1371619,1,
307013,1221580,607849,889328,0,
2078964,3335442,369805,893436,1,
2166178,4156123,323726,1440148,1,
2798186,5473035,194978,1452508,18,
2948448,3265746,925711,1456727,0,
4789942,5287686,917489,993196,0,
4096065,4311576,844850,1128411,0,
56620,5110193,638714,1423235,1,
233421,2445550,267329,1089711,2,
2233501,3576319,508693,1376418,1,
1695484,4442753,867571,1137012,0,
129016,395455,1207135,1496961,0,
4545385,5551691,61879,882074,158,
1034266,3508291,1007890,1394426,0,
347111,5866549,52524,69209,181,
2707899,4344607,638262,1033811,0,
3246548,4619048,791046,872495,0,
281264,5279795,323084,790494,5,
2691680,4206585,58611,1445367,58,
1792864,2401954,15624,233297,216,
4488604,5172192,611035,1036723,1,
1079908,2976729,446910,929881,1,
2172231,4813199,87492,668210,135,
2321151,3477643,334420,1428377,1,
1693341,4389198,648568,890172,0,
531418,1815511,860768,1113895,0,
1363244,1443429,219582,775461,0,
255055,275913,789544,1156023,0,
3078607,6324156,820404,851616,0,
44276,4274914,1023060,1349627,0,
1750422,4345419,544011,709810,1,
1894543,5191409,866495,1383057,0,
2124861,2748694,112740,1013789,8,
175413,6025388,198187,1271283,33,
3244745,3488277,326819,1361269,0,
1939805,2798728,826844,1515906,0,
3426920,5172928,867592,882379,0,
123977,5018362,219103,1328752,12,
2857264,4590052,806207,1178127,0,
721663,3746590,592770,923346,0,
1539882,4964768,794758,1328059,0,
1720695,2484933,442680,1479743,0,
1907730,2113272,186204,734508,0,
4834715,6318872,1332387,1550863,0,
823646,3060771,72240,1031685,89,
2092746,6332339,271537,953834,14,
2897463,6074311,540139,1446070,2,
4235664,6170623,624233,876995,2,
3354777,4689801,351307,767823,1,
668273,2358890,1028720,1512020,0,
4917142,5157815,254822,1303193,2,
1442030,1938883,1075744,1421970,0,
1033334,4009066,53606,763837,192,
2139358,4496567,434883,1318131,2,
1903624,2490581,457892,1186613,0,
3405039,6037302,136033,1316038,68,
948598,2455088,979117,1534472,0,
3939325,6044291,1054294,1240298,0,
4432804,5245665,45993,266428,212,
2692781,5388941,683926,1347450,0,
351293,2699335,345102,426265,1,
1648510,1866910,682396,1225399,0,
1583706,5159966,12393,1136280,1898,
759154,6058312,430225,1231846,7,
2535362,2724905,286000,1502673,0,
1756351,3562385,639697,1175450,0,
4985343,5008589,1104271,1392561,0,
1845635,4068652,578110,1057515,0,
2296210,5492448,1017298,1330650,0,
3826510,5905512,234949,425910,15,
422400,578435,106853,423162,0,
