page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
3157385,4702394,234140,260716,2,
2342585,5439680,299050,714372,6,
1901967,4282585,1002589,1188153,0,
283022,6341757,556525,583286,0,
2826374,4122712,758,688011,11767,
4280531,6323717,1176605,1380397,0,
255391,6320108,766978,1276541,1,
2074357,5984411,46475,132056,529,
5018999,5998345,360962,458801,1,
3072503,6145044,613157,940989,2,
305146,3919232,76964,1425871,114,
627390,4381709,1179984,1185383,0,
809816,2727363,458693,1241716,1,
2758932,3607604,33203,1084912,57,
942141,4970542,421402,1163811,3,
5240953,5867295,287268,633090,9,
1157244,3563333,1228080,1481302,0,
1660774,6339065,691646,983019,1,
1415858,3551551,276462,775737,1,
1923091,3043336,937382,1494823,0,
3631519,6155150,1037899,1530959,0,
2568802,6296615,523587,901229,2,
742047,2106994,385291,867614,0,
4584448,4921518,1074126,1343988,0,
118278,5122300,711799,1524596,0,
2343102,4103081,25160,1429784,239,
2662300,3626433,539379,1014286,0,
948803,2180529,451986,707530,0,
4615250,5907351,15391,19042,330,
5488564,6001388,281887,784389,6,
1373225,1586706,645796,1381013,0,
3413529,4300019,192430,1461104,0,
3836841,5011802,177374,752242,10,
3228237,6021120,230153,1186056,22,
4793316,6359033,158536,882003,52,
946392,5699554,1169498,1479836,0,
337272,1443753,342831,1412934,1,
514164,2669748,415207,521466,0,
4297030,5866229,1271363,1470694,0,
1808719,6169095,1321492,1372246,0,
961593,5077722,1371757,1469643,0,
1293764,3392731,774951,1389990,0,
3216854,5872928,594807,1507024,2,
643181,5703834,52008,687790,510,
2700782,3858302,210313,643943,0,
50572,1699476,580563,785746,0,
286424,6322020,560388,759407,1,
89446,5290893,884907,930091,0,
4344467,6087072,25025,1015795,1160,
1002343,4330623,148467,1102798,7,
830889,4777236,591874,831253,0,
896008,5415238,785791,1544248,0,
815744,3689701,724086,1212921,0,
614322,3531208,689891,1129015,0,
5858886,6354949,7502,1283173,7319,
2860719,4413804,40942,412430,98,
3470972,4512667,191613,1381893,4,
2684361,4627442,558932,697121,0,
2551514,5731247,16316,1018130,1667,
447500,1566578,604819,809104,0,
1561120,6056423,1271566,1537677,0,
764194,6323784,183314,1542929,45,
2039065,4412208,566382,1441967,0,
127728,3338111,809276,1052739,0,
3284623,6355526,154711,594036,66,
476012,827601,241073,1338185,0,
743119,6291597,316759,489295,4,
51396,5798539,415920,518657,3,
1588930,5446560,739486,1372704,0,
657085,2715064,43488,497814,192,
3033771,3246511,164574,974092,0,
1685886,2240788,987032,1146797,0,
5495651,6354770,434295,885958,4,
1071555,1726103,889370,930708,0,
2644476,4950231,512676,973118,1,
3108984,3435995,532794,1082470,0,
6117918,6398571,824577,1257345,0,
3540588,4696833,190436,1322149,6,
123853,2819531,241268,529009,4,
2358601,4348366,570356,1364359,0,
1182225,4274417,1386763,1464601,0,
3638654,3844572,548198,1346608,0,
767385,3286332,538657,542043,0,
201121,3454049,1070243,1118703,0,
2732648,4483959,605050,809270,0,
1371776,2844518,354282,1240749,1,
1370547,2046868,245999,764848,0,
1630621,3054222,521736,861745,1,
1232590,4940020,122010,741392,39,
3753344,5359518,753394,1259004,0,
667287,5986436,1086145,1438828,0,
264413,4205893,1413361,1463285,0,
748197,4102483,335637,636214,2,
1650240,5095251,1390847,1531059,0,
4531322,6205507,463024,623588,3,
1095983,2574327,923300,1129799,0,
1343130,6385768,176231,751696,55,
214646,660373,375732,1183533,0,
473372,1111169,187190,1552607,2,
4352784,6250481,387650,719183,7,
5972077,6318932,677438,1255199,0,
182255,726290,165450,1472202,3,
2516265,3243552,277266,924166,1,
2611815,3912352,534928,894859,0,
1356666,4013985,181124,270046,1,
3403243,5694218,808171,1144993,0,
2909495,3435911,811886,1498682,0,
46795,495729,526799,1459103,0,
2389136,5251734,16441,527549,1236,
1587400,3499794,871017,917272,0,
399751,1368901,90117,1342551,6,
2658049,4556008,890505,1032048,0,
1749192,3992293,479337,1072693,1,
2273799,5154158,809086,1141271,0,
5296431,5634460,200204,593765,9,
3463978,5343485,142080,1388674,25,
2879856,4814792,233997,1048840,4,
1336688,6275125,824901,1505673,1,
562797,2194065,271949,1360597,1,
1225665,2929438,98785,1172594,51,
1004997,2643941,440419,553135,1,
3580374,6057094,1231672,1390694,0,
488082,5510392,599722,727406,1,
1477693,4763490,450114,1511808,2,
2590481,4661678,303622,985017,1,
2817117,4329120,1163762,1482878,0,
3167426,6345397,400679,1540363,7,
4296170,4663711,104118,899498,21,
226131,411150,90737,1134609,3,
1500765,5302738,576191,843569,1,
2159418,6275150,547590,647295,1,
760332,4223917,438712,828063,1,
1484594,1970724,89949,531695,4,
